puid,stratum,STATECD,ESTN_UNIT,STRATUMCD,INTENSITY,EVALID,END_INVYR
82482_41_23,1901041,41,1,19,1,411703,2017
95915_41_23,1701041,41,1,17,1,411703,2017
70863_41_23,16703041,41,3,167,1,411703,2017
89503_41_23,1801041,41,1,18,1,411703,2017
89163_41_23,1501041,41,1,15,1,411703,2017
87084_41_23,1801041,41,1,18,1,411703,2017
63077_41_23,1701041,41,1,17,1,411703,2017
54240_41_37,901041,41,1,9,1,411803,2018
72403_41_37,18503041,41,3,185,1,411703,2017
64116_41_45,12303041,41,3,123,1,411803,2018
79504_41_45,12303041,41,3,123,1,411803,2018
64134_41_45,12303041,41,3,123,1,411803,2018
80991_41_45,12303041,41,3,123,1,411803,2018
57769_41_45,12303041,41,3,123,1,411703,2017
87362_41_55,17403041,41,3,174,1,411703,2017
50859_41_57,11803041,41,3,118,1,411703,2017
96738_41_45,12303041,41,3,123,1,411703,2017
61213_41_35,18303041,41,3,183,1,411703,2017
57920_41_45,17503041,41,3,175,1,411703,2017
96748_41_37,17103041,41,3,171,1,411703,2017
82138_41_13,7001041,41,1,70,1,411803,2018
82722_41_37,11803041,41,3,118,1,411703,2017
50652_41_45,12303041,41,3,123,1,411803,2018
60032_41_35,7401041,41,1,74,1,411803,2018
59143_41_61,5901041,41,1,59,1,411703,2017
85684_41_15,17903041,41,3,179,1,411703,2017
74621_41_33,3801041,41,1,38,1,411803,2018
67458_41_33,10502041,41,2,105,1,411803,2018
66256_41_65,12303041,41,3,123,1,411703,2017
73287_41_25,12303041,41,3,123,1,411703,2017
60242_41_23,10602041,41,2,106,1,411803,2018
83004_41_19,15703041,41,3,157,1,411703,2017
67094_41_13,12303041,41,3,123,1,411803,2018
70451_41_37,801041,41,1,8,1,411803,2018
56346_41_5,17203041,41,3,172,1,411703,2017
50516_41_57,14803041,41,3,148,1,411703,2017
94866_41_19,15603041,41,3,156,1,411903,2019
50093_41_23,1901041,41,1,19,1,411703,2017
99306_41_45,12303041,41,3,123,1,411703,2017
86905_41_37,6801041,41,1,68,1,411803,2018
80645_41_37,1101041,41,1,11,1,411703,2017
67864_41_55,15703041,41,3,157,1,411703,2017
74697_41_37,12303041,41,3,123,1,411703,2017
62797_41_37,1301041,41,1,13,1,411703,2017
95022_41_45,12303041,41,3,123,1,411703,2017
67141_41_45,12303041,41,3,123,1,411703,2017
55502_41_45,12303041,41,3,123,1,411703,2017
96685_41_45,12303041,41,3,123,1,411703,2017
68176_41_59,17403041,41,3,174,1,411703,2017
99607_41_59,5901041,41,1,59,1,411703,2017
52413_41_59,17403041,41,3,174,1,411703,2017
69907_41_59,17403041,41,3,174,1,411703,2017
73897_41_59,17403041,41,3,174,1,411703,2017
81773_41_59,4801041,41,1,48,1,411803,2018
58071_41_59,16603041,41,3,166,1,411703,2017
80654_41_59,11803041,41,3,118,1,411703,2017
85047_41_13,12403041,41,3,124,1,411703,2017
57878_41_69,3001041,41,1,30,1,411703,2017
57042_41_45,12303041,41,3,123,1,411803,2018
74463_41_45,12303041,41,3,123,1,411703,2017
76884_41_45,12303041,41,3,123,1,411703,2017
82774_41_45,15703041,41,3,157,1,411703,2017
79828_41_45,12303041,41,3,123,1,411703,2017
93153_41_45,12303041,41,3,123,1,411703,2017
89297_41_45,17403041,41,3,174,1,411703,2017
90781_41_59,15703041,41,3,157,1,412103,2021
76554_41_59,17403041,41,3,174,1,411703,2017
